Text
"In the Current Policies scenario for the USA region, the variable Agricultural Demand (million t DM/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the World region, the variable Agricultural Demand (million t DM/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the USA region, the variable Agricultural Demand Crops (million t DM/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the World region, the variable Agricultural Demand Crops (million t DM/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the USA region, the variable Agricultural Demand Crops (million t DM/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the World region, the variable Agricultural Demand Crops (million t DM/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the USA region, the variable Agricultural Demand Crops (million t DM/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the World region, the variable Agricultural Demand Crops (million t DM/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the USA region, the variable Agricultural Demand Crops (million t DM/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the World region, the variable Agricultural Demand Crops (million t DM/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the USA region, the variable Agricultural Demand Livestock (million t DM/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the World region, the variable Agricultural Demand Livestock (million t DM/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the USA region, the variable Agricultural Demand Livestock (million t DM/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the World region, the variable Agricultural Demand Livestock (million t DM/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the USA region, the variable Agricultural Demand Livestock (million t DM/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the World region, the variable Agricultural Demand Livestock (million t DM/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the USA region, the variable Capacity Additions Electricity (GW/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the World region, the variable Capacity Additions Electricity (GW/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the USA region, the variable Capacity Additions Electricity (GW/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the World region, the variable Capacity Additions Electricity (GW/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the USA region, the variable Capacity Additions Electricity (GW/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the World region, the variable Capacity Additions Electricity (GW/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the USA region, the variable Capacity Additions Electricity (GW/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the World region, the variable Capacity Additions Electricity (GW/yr) is modeled using GCAM-PR 5.3. Trend data: ."
"In the Current Policies scenario for the USA region, the variable Capacity Additions Electricity (GW/yr) is modeled using GCAM-PR 5.3. Trend data: ."
